名称,状况,状态,置备的空间,已用空间,主机 CPU,主机内存
centersys-bigdata-doris-01,已打开电源,正常,166.1 GB,58.99 GB,356 MHz,16.09 GB
centersys-bigdata-doris-be-01,已打开电源,正常,266.09 GB,47.21 GB,314 MHz,9.79 GB
centersys-bigdata-hadoop-01,已打开电源,正常,258.09 GB,32.63 GB,41 MHz,4.66 GB
centersys-bigdata-hadoop-02,已打开电源,正常,266.09 GB,47.6 GB,41 MHz,4.46 GB
centersys-bigdata-minio-01,已打开电源,正常,264.79 GB,21.21 GB,41 MHz,4.03 GB
centersys-bigdata-streampark-01,已打开电源,正常,308.09 GB,30.11 GB,20 MHz,6.91 GB
centersys-dev-kafka,已打开电源,正常,108.09 GB,30.66 GB,796 MHz,7.89 GB
centersys-minio-bak,已打开电源,正常,254.08 GB,212.5 GB,41 MHz,3.73 GB
centersys-ops-test,已打开电源,正常,208.1 GB,117.6 GB,125 MHz,8.06 GB
s01-群晖存储IOPS测试,已打开电源,正常,54.08 GB,14.91 GB,20 MHz,3.89 GB
s01-bigdata-dev-kafka,已打开电源,正常,104.09 GB,47.12 GB,125 MHz,3.89 GB
s01-bigdata-dev-redis,已打开电源,正常,108.09 GB,11.23 GB,41 MHz,2.15 GB
s01-centersys-sonarqube,已打开电源,正常,104.08 GB,11.25 GB,62 MHz,3.88 GB
s01-gitlab-iopstest-qunhui-20260117,已打开电源,正常,566.09 GB,539.85 GB,398 MHz,16.09 GB
S01-jumpser-app-2019,已打开电源,正常,108.12 GB,37.55 GB,942 MHz,8.06 GB
S01-Jumpserver-Mysql,已打开电源,正常,504.08 GB,32.97 GB,62 MHz,4.04 GB
S01-Jumpserver-nginx,已打开电源,正常,152.08 GB,5.78 GB,62 MHz,1.93 GB
S01-Jumpserver_01,已打开电源,正常,3.27 TB,1.75 TB,649 MHz,15.98 GB
S01-JumpServer_02,已打开电源,正常,2.54 TB,1.3 TB,377 MHz,15.98 GB
S01-K8S-master-01,已打开电源,正常,116.1 GB,108.41 GB,2.45 GHz,15.91 GB
s01-k8s-new-rancher,已打开电源,正常,208.09 GB,98.58 GB,796 MHz,8.06 GB
s01-k8s-prod-master01,已打开电源,正常,116.09 GB,45.62 GB,1.24 GHz,14.31 GB
s01-middleend-apollo01,已打开电源,正常,54.08 GB,17.51 GB,41 MHz,4.04 GB
s01-middleend-apollo02,已打开电源,正常,54.08 GB,21.46 GB,293 MHz,4.04 GB
S01-middleend-databases,已打开电源,正常,224.09 GB,220.66 GB,293 MHz,23.94 GB
S01-middleend-databases-02,已打开电源,正常,216.09 GB,64.42 GB,879 MHz,15.87 GB
s01-nextcloud-01,已打开电源,正常,124.09 GB,22.85 GB,188 MHz,3.88 GB
s01-nginx-develop-01,已打开电源,正常,52.08 GB,41.66 GB,20 MHz,2.03 GB
s01-public-ad03,已打开电源,警告,208.09 GB,208.09 GB,15.21 GHz,8.07 GB
S01-public-gitlab-01,已打开电源,正常,2.14 TB,719.91 GB,2.35 GHz,16.09 GB
s01-public-gitlab-03,已打开电源,正常,3.63 TB,1.07 TB,4.32 GHz,32.16 GB
s01-public-harbor-01,已打开电源,正常,1.05 TB,694.87 GB,251 MHz,3.93 GB
s01-public-harbor-02,已打开电源,正常,558.09 GB,556.97 GB,146 MHz,7.89 GB
s01-public-jenkins-master-02,已打开电源,正常,7.83 TB,5.26 TB,83 MHz,16.1 GB
s01-public-jira-new,已打开电源,正常,1.07 TB,745.12 GB,2.2 GHz,25.12 GB
s01-public-kafka,已打开电源,正常,108.1 GB,26.24 GB,83 MHz,7.94 GB
s01-public-mysql-master,已打开电源,正常,104.08 GB,22.74 GB,20 MHz,3.93 GB
s01-public-mysql-slave,已打开电源,正常,104.08 GB,48.49 GB,62 MHz,3.93 GB
s01-public-nexus,已打开电源,正常,258.09 GB,215.73 GB,62 MHz,7.85 GB
s01-public-openvpn-01,已打开电源,正常,52.08 GB,33.81 GB,62 MHz,1.93 GB
s01-public-redis,已打开电源,正常,108.08 GB,20.14 GB,62 MHz,7.94 GB
s01-public-rocketchat-01,已打开电源,正常,303.71 GB,208 GB,251 MHz,16.08 GB
s01-public-svn-01,已打开电源,正常,11.06 TB,8.79 TB,2.7 GHz,8.07 GB
s01-public-svn-02,已打开电源,正常,1.05 TB,394.78 GB,83 MHz,4.04 GB
s01-public-yapi-01,已打开电源,正常,104.08 GB,53.08 GB,41 MHz,4.04 GB
S01-Wifi-CA1,已打开电源,正常,104.09 GB,43.21 GB,2.49 GHz,4.04 GB
s01-yunwei-ad02-test,已打开电源,正常,304.08 GB,304.08 GB,125 MHz,4.04 GB
s01-yunwei-DC-backup,已打开电源,正常,116.1 GB,116.1 GB,9.72 GHz,13.65 GB
S01-yunwei-EwoMail（平时关机）,已关闭电源,正常,57.51 GB,11.07 GB,0 Hz,0 B
s01-yunwei-HIK,已打开电源,正常,128.09 GB,128.09 GB,2.62 GHz,8.06 GB
s01-yunwei-netops-dev,已打开电源,正常,54.08 GB,22.25 GB,20 MHz,3.45 GB
s01-yunwei-ops-gateway,已打开电源,正常,208.09 GB,25.16 GB,104 MHz,8.06 GB
s01-ywmanager-agent-01,已打开电源,正常,137.16 GB,44.46 GB,41 MHz,16.09 GB
S02-Render,已打开电源,正常,308.09 GB,66.45 GB,209 MHz,8.06 GB
